"","Asian-Americans","Hispanics","Blacks","Illegal Immigrants","Whites","Dem. Pres. Candidate","GOP Pres. Candidate","Libertarian Pres. Candidate","Green Pres. Candidate","Dem. VP","GOP VP","John Roberts","Pope Francis","Christian Fundamentalists","Feminists","Liberals","Labor Unions","Poor People","Big Business","Conservatives","SCOTUS","Gays & Lesbians","Congress","Rich People","Muslims","Christians","Jews","Tea Party","Police","Transgender People","Scientists","BLM"
"3701",70,71,51,2,100,0,60,70,50,50,85,30,100,50,50,15,60,70,50,70,40,30,0,50,0,85,50,0,60,0,60,0
"3702",70,70,85,70,85,50,15,60,50,50,50,50,85,50,70,70,15,85,15,70,60,85,0,50,85,85,85,70,85,85,85,50
"3704",52,44,46,45,54,70,1,50,49,51,1,58,84,56,49,45,54,50,42,44,78,93,46,27,50,88,73,45,90,78,33,69
"3706",91,94,88,85,60,30,1,17,83,32,1,50,39,2,86,71,60,85,13,15,68,85,16,14,47,14,86,0,71,91,97,74
"3707",50,60,100,50,100,90,0,50,50,50,50,50,50,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,0,50,50,50
"3709",0,0,100,100,70,100,0,30,50,50,50,50,30,15,85,50,100,100,60,40,85,100,30,0,30,50,15,50,50,30,50,100
"3710",80,80,80,30,80,18,80,60,31,61,86,61,51,50,50,32,50,84,60,60,66,70,40,50,70,70,70,84,93,61,85,2
"3711",70,70,85,40,85,70,0,50,100,50,1,50,100,50,70,70,100,100,50,70,70,100,15,100,50,100,100,50,70,100,100,70
"3712",91,58,100,0,50,74,0,0,0,1,0,0,0,72,95,16,97,99,70,12,5,65,27,2,76,98,50,3,0,52,94,100
"3713",70,100,70,40,85,0,16,50,50,50,100,100,50,70,0,50,50,100,50,70,70,50,60,60,40,100,50,15,85,50,85,50
"3714",87,64,73,18,85,18,86,41,17,22,85,86,93,68,61,46,52,61,52,100,74,75,43,60,51,99,83,70,85,51,50,18
"3716",87,81,81,47,85,60,52,50,51,51,50,50,100,60,51,56,70,59,51,51,69,84,31,66,50,87,66,45,81,79,69,41
